external_id,rating,content,text_indobert,initial_sentiment,final_sentiment,true_label,predicted_label,prob_negative,prob_neutral,prob_positive,confidence
2d86d77f-b6ee-4aee-8c31-1858b9f13677,4,"Aku gk bisa kasih 5 bintang karena,sering bngt spotify maksain untuk permium,jadi itu aja,mksh( *・ω・)ノ","Aku gk bisa kasih 5 bintang karena,sering bngt spotify maksain untuk permium,jadi itu aja,mksh( *・ω・)ノ",Positive,Positive,Positive,Neutral,0.05556115,0.84884614,0.09559274,0.84884614
3e23b123-2700-47c6-9325-65dbc910195f,5,Fans NDX A.K.A Paling Setiaa Nih Gw :P,Fans NDX A.K.A Paling Setiaa Nih Gw :P,Positive,Positive,Positive,Negative,0.460344,0.35563615,0.18401988,0.460344
d4c70bcb-8f1b-4a6e-9f1d-355c0abde959,1,Eh laso. Kak Gery bilang harusnya ko taro kasih tunjuk itu lirik pas dipencet lagu na tlso. Mana kak Gery tau KLO harus di scroll itu ke bawah liriknya,Eh laso. Kak Gery bilang harusnya ko taro kasih tunjuk itu lirik pas dipencet lagu na tlso. Mana kak Gery tau KLO harus di scroll itu ke bawah liriknya,Negative,Negative,Negative,Neutral,0.38336435,0.56703,0.049605634,0.56703
45e1f66b-ee0e-4b07-b10f-bcc56ae69a88,3,Oke bangret,Oke bangret,Neutral,Neutral,Neutral,Negative,0.47626868,0.3204346,0.20329663,0.47626868
8a5d6e2f-967a-4ae5-b0f9-a09f60daf191,3,sekali ganti lagu pasti iklan ny lama banyakkk lgi minimal yh 1 atau yh di gk ada in ke ini mh 3 sampe 4 mh. iy kalo abis iklan banyak ya udh lancar lah sampee 5 atau 6 ke ini mh iklan 4 lagu ny 2 sampe 3 dnggg idihh. satu lagu kenapa lagu where we are kgk ada siballl,sekali ganti lagu pasti iklan ny lama banyakkk lgi minimal yh 1 atau yh di gk ada in ke ini mh 3 sampe 4 mh. iy kalo abis iklan banyak ya udh lancar lah sampee 5 atau 6 ke ini mh iklan 4 lagu ny 2 sampe 3 dnggg idihh. satu lagu kenapa lagu where we are kgk ada siballl,Neutral,Neutral,Neutral,Negative,0.8456799,0.123985685,0.030334532,0.8456799
bc718e5e-0f19-4188-922d-16bb45621a03,3,Aplikasi bagus haha !!!!!!!!!!¡!!!!!!!!!!!!!!!!!!!!!!$$@@!!!!!!!!,Aplikasi bagus haha !!!!!!!!!!¡!!!!!!!!!!!!!!!!!!!!!!$$@@!!!!!!!!,Neutral,Positive,Positive,Negative,0.5461416,0.072156414,0.38170192,0.5461416
c63dc2e0-39da-49b5-a348-185fe8c70456,3,Bagus,Bagus,Neutral,Positive,Positive,Neutral,0.14150314,0.5691249,0.28937197,0.5691249
6deabe22-9bc0-4362-9ef7-c9dcf2903434,4,Kemahalan,Kemahalan,Positive,Positive,Positive,Neutral,0.14150314,0.5691249,0.28937197,0.5691249
216a095e-f368-4300-b5f9-b32dc1f1413a,5,not bed,not bed,Positive,Positive,Positive,Negative,0.55767125,0.34575206,0.0965767,0.55767125
c23da5ad-6913-41db-ba1d-c877527265b1,3,sebenernya ini bgs si tpi knp harus ad batasan untuk memilih lagu? jika sudah beberapa kali maka lagu akan otomatis terpilih dari spotify lngsng jadi ak ga trlalu suka krna dibatasin jadi ak ga bebas buat ndengar lagu yang ak inginkan jadi semoga tidak ad batasan untuk memilih lagu jika sudah tidak ad batasan saya akan memberi bintang 5,sebenernya ini bgs si tpi knp harus ad batasan untuk memilih lagu? jika sudah beberapa kali maka lagu akan otomatis terpilih dari spotify lngsng jadi ak ga trlalu suka krna dibatasin jadi ak ga bebas buat ndengar lagu yang ak inginkan jadi semoga tidak ad batasan untuk memilih lagu jika sudah tidak ad batasan saya akan memberi bintang 5,Neutral,Neutral,Neutral,Positive,0.17161529,0.04860377,0.7797809,0.7797809
